Company,Total number of notifications,Positive %,Negative %,Neutral %
TTK,6,16.67,0.0,83.33
REPL,4,0.0,0.0,100.0
MZHE,3,0.0,0.0,100.0
VROS,2,0.0,0.0,100.0
ZPOG,2,50.0,0.0,50.0
ALK,2,0.0,0.0,100.0
CKB,2,0.0,0.0,100.0
MPTE,2,100.0,0.0,0.0
MTUR,2,0.0,50.0,50.0
NOSK,2,0.0,0.0,100.0
MODA,1,100.0,0.0,0.0
SIL,1,0.0,0.0,100.0
VITA,1,0.0,0.0,100.0
FAKM,1,0.0,0.0,100.0
PKB,1,100.0,0.0,0.0
KONZ,1,0.0,0.0,100.0
OILK,1,0.0,0.0,100.0
PPIV,1,100.0,0.0,0.0
UNIPO2,1,0.0,0.0,100.0
GECK,1,100.0,0.0,0.0
GECT,1,0.0,0.0,100.0
USJE,1,0.0,0.0,100.0
